cod_ibge;municipio;area_territorial_km2;pop_residente;den_demografica_hab/km;escolarizacao_6_a_14_anos_percent;idhm;receitas_realizadas_1000;pib_2020
3543907;Rio Claro;498.422;201418;404.11;98.2;0.803;803525.4122;54960.37
3544004;Rio das Pedras;226.657;31328;138.22;98.4;0.759;102407.1913;40991.88
3544103;Rio Grande da Serra;36.341;44170;1215.43;98.2;0.749;88976.07302;16478.41
3544202;Riolândia;631.897;10309;16.31;96.7;0.703;38925.72303;19390.5
3544251;Rosana;744.011;17440;23.44;98.1;0.764;93680.95622;139866.39
3544301;Roseira;129.847;10832;83.42;98.7;0.737;33895.39412;31343.26
3544400;Rubiácea;236.484;2700;11.42;99.5;0.721;16706.3947;25797.93
3544509;Rubinéia;242.877;3833;15.78;100;0.759;25539.42748;27886.15
3544608;Sabino;305.285;5112;16.75;97.2;0.728;24381.55714;24101.52
3544707;Sagres;147.935;2474;16.72;99.2;0.73;14008.8457;19126.62
3544806;Sales;308.555;6437;20.86;100;0.751;32637.57083;24305.17
3544905;Sales Oliveira;305.776;11411;37.32;98.8;0.772;44247.32066;34355.62
3545001;Salesópolis;424.997;15202;35.77;98.4;0.732;42345.10216;14161.31
3545100;Salmourão;172.934;4808;27.8;98.3;0.719;16370.61593;15588.91
3545159;Saltinho;99.738;8161;81.82;96.8;0.791;28672.08886;34833.08
3545209;Salto;133.057;134319;1009.48;98.4;0.78;354244.6401;65188.56
3545308;Salto de Pirapora;280.412;43748;156.01;98.6;0.729;131729.4322;45907.4
3545407;Salto Grande;188.441;9050;48.03;96.5;0.704;29971.47426;28643.94
3545506;Sandovalina;455.856;3645;8;98.2;0.709;32307.83146;100309.54
3545605;Santa Adélia;330.269;14018;42.44;100;0.76;45504.82836;22906
3545704;Santa Albertina;272.692;6393;23.44;98.8;0.728;28804.62392;35341.71
3545803;Santa Bárbara d'Oeste;271.03;183347;676.48;98.4;0.781;525487.1773;33335.49
3546009;Santa Branca;272.238;13975;51.33;98.8;0.735;46517.46241;19156.3
3546108;Santa Clara d'Oeste;183.458;2598;14.16;98.5;0.733;17757.40355;35018.03
3546207;Santa Cruz da Conceição;150.13;4277;28.49;99.6;0.79;23274.35012;31703.34
3546256;Santa Cruz da Esperança;148.062;2116;14.29;86.2;0.743;15779.04758;29654.98
3546306;Santa Cruz das Palmeiras;295.337;28864;97.73;97.3;0.728;79313.66173;16700.79
3546405;Santa Cruz do Rio Pardo;1114.747;46442;41.66;96.3;0.762;156934.1458;50673.64
3546504;Santa Ernestina;134.421;6118;45.51;99.2;0.738;20029.97331;19013.15
3546603;Santa Fé do Sul;206.537;34794;168.46;97.9;0.784;156348.1931;38953.74
3546702;Santa Gertrudes;98.291;23611;240.22;98.3;0.737;105948.3807;98302.42
3546801;Santa Isabel;363.332;53174;146.35;97.8;0.738;151362.7504;27755.97
3546900;Santa Lúcia;153.86;7149;46.46;98.6;0.737;21826.35578;14199.98
3547007;Santa Maria da Serra;252.621;5243;20.75;97.5;0.686;22804.66772;22019.43
3547106;Santa Mercedes;166.753;2956;17.73;98.8;0.739;15161.8698;21064.07
3547205;Santana da Ponte Pensa;129.888;1670;12.86;100;0.773;13968.35312;28238.12
3547304;Santana de Parnaíba;179.949;154105;856.38;97.3;0.814;923581.4512;69580.95
3547403;Santa Rita d'Oeste;209.8;2733;13.03;100;0.761;19386.20853;26935.39
3547502;Santa Rita do Passa Quatro;754.141;24833;32.93;97.8;0.775;80902.27423;27501.67
3547601;Santa Rosa de Viterbo;288.576;23411;81.13;97.9;0.77;68601.56295;28491.25
3547650;Santa Salete;79.192;1645;20.77;100;0.772;14764.64508;25484.81
3547700;Santo Anastácio;552.876;17963;32.49;98.5;0.753;50984.43585;24002.08
3547809;Santo André;175.782;748919;4260.5;97.4;0.815;2493588.876;40812.01
3547908;Santo Antônio da Alegria;310.311;6775;21.83;97.5;0.702;25078.04394;26755.01
3548005;Santo Antônio de Posse;154.133;23244;150.8;97.3;0.702;99441.30049;67655.55
3548054;Santo Antônio do Aracanguá;1308.432;8379;6.4;98.9;0.757;46586.21956;29881.54
3548104;Santo Antônio do Jardim;109.956;6126;55.71;97;0.714;20805.41817;32967.09
3548203;Santo Antônio do Pinhal;133.008;7133;53.63;98.3;0.706;26086.65888;19014.9
3548302;Santo Expedito;94.465;3000;31.76;99.1;0.732;13758.90394;14345.24
3548401;Santópolis do Aguapeí;128.026;3899;30.45;98.6;0.74;17610.05984;14977.59
3548500;Santos;281.033;418608;1489.53;98.2;0.84;2639959.078;50901.03
3548609;São Bento do Sapucaí;252.579;11674;46.22;98.5;0.72;33856.89703;21921.97
3548708;São Bernardo do Campo;409.532;810729;1979.65;97.6;0.805;3962694.357;57566.99
3548807;São Caetano do Sul;15.331;165655;10805.23;97.4;0.862;1332807.609;86200.01
3548906;São Carlos;1136.907;254857;224.17;97.9;0.805;788156.0699;47701.04
3549003;São Francisco;75.579;2602;34.43;100;0.723;16083.89271;16960.21
3549102;São João da Boa Vista;516.399;92547;179.22;97.2;0.797;343289.0819;37525.37
3549201;São João das Duas Pontes;129.462;2580;19.93;99.4;0.72;16496.92245;19248.26
3549250;São João de Iracema;178.396;1846;10.35;98.1;0.748;17549.35515;22015.34
3549300;São João do Pau d'Alho;117.665;2242;19.05;99.2;0.75;14784.83723;26353.84
3549409;São Joaquim da Barra;410.863;48558;118.19;96.7;0.762;127850.569;36015.43
3549508;São José da Bela Vista;276.952;7626;27.54;97.9;0.693;26119.83908;20514.4
3549607;São José do Barreiro;570.685;3853;6.75;95.5;0.684;20799.15331;14539.84
3549706;São José do Rio Pardo;419.684;52205;124.39;97.6;0.774;179275.7673;39312.39
3549805;São José do Rio Preto;431.944;480393;1112.17;98;0.797;1635000.401;40204.08
3549904;São José dos Campos;1099.409;697054;634.03;97.4;0.807;2855786.777;53646.74
3549953;São Lourenço da Serra;186.456;16067;86.17;97.2;0.728;40826.834;16622.93
3550001;São Luiz do Paraitinga;617.315;10337;16.75;100;0.697;35566.58113;17791.25
3550100;São Manuel;650.734;37289;57.3;97.3;0.744;130714.7201;31287.58
3550209;São Miguel Arcanjo;930.339;32039;34.44;95.9;0.71;80296.68934;28157.14
3550308;São Paulo;1521.202;11451999;7528.26;96;0.805;54010996.76;60750.09
3550407;São Pedro;611.278;38256;62.58;94.8;0.755;137416.5857;22720.61
3550506;São Pedro do Turvo;731.221;7217;9.87;97.4;0.703;29831.91661;30543.88
3550605;São Roque;306.908;79484;258.98;97.6;0.768;269798.9712;33763.03
3550704;São Sebastião;402.395;81595;202.77;98.2;0.772;683723.6113;37830.81
3550803;São Sebastião da Grama;252.41;10441;41.37;98.3;0.701;33598.02654;27140.86
3550902;São Simão;617.252;13442;21.78;99.8;0.766;54307.19042;30736.27
3551009;São Vicente;148.151;329911;2226.86;96.7;0.768;957785.4228;15551.5
3551108;Sarapuí;352.592;10369;29.41;99;0.707;28419.51452;17999.89
3551207;Sarutaiá;141.608;3704;26.16;98.7;0.688;15520.29483;23613.43
3551306;Sebastianópolis do Sul;167.848;3130;18.65;99;0.773;24045.80127;122735.22
3551405;Serra Azul;283.144;12746;45.02;96.9;0.686;30237.27602;12611.85
3551504;Serrana;126.046;43909;348.36;97.5;0.729;124393.8617;25930.77
