ano;sigla_uf;rede;diretoria;id_municipio;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;;;3555505;0;0;0;9857652;1067616;3558719;9891304;1086957;0
2011;SP;;;3506409;0;0;0;868932;9223301;3883495;8014185;141844;5673759
2011;SP;;;3506508;9677419;3225806;0;9305103;4885993;2062975;8507298;8565134;6361884
2011;SP;;;3507753;0;0;0;9439252;5607477;0;8818898;1181102;0
2011;SP;;;3508108;0;0;0;9764706;2352941;0;9120689;8793103;0
2011;SP;;;3512506;0;0;0;9863946;1360544;0;8634146;5365854;8292683
2011;SP;;;3516507;0;0;0;1000;0;0;1000;0;0
2011;SP;;;3517109;0;0;0;84375;15625;0;7122302;2877698;0
2011;SP;;;3527256;0;0;0;9878049;0;1219512;9292929;6060606;1010101
2011;SP;;;3537701;0;0;0;9433962;4402516;1257862;9211618;2489627;5394191
2011;SP;;;3555208;0;0;0;9809524;1904762;0;8737864;1262136;0
2011;SP;;;3502309;0;0;0;0;0;0;8451883;1297071;251046
2011;SP;;;3503604;0;0;0;0;0;0;8434782;7608696;8043478
2011;SP;;;3506904;9705882;2941176;0;849624;1278195;2255639;8625731;1754386;119883
2011;SP;;;3507506;0;0;0;78451;1638567;516333;753278;1677816;7894032
2011;SP;;;3511607;0;0;0;0;0;0;7961165;987055;105178
2011;SP;;;3512308;8804348;1195652;0;880;50;70;7242719;1300971;1456311
2011;SP;;;3523503;0;0;0;8784194;7598784;455927;8188623;763473;1047904
2011;SP;;;3526407;0;0;0;7765958;2021277;212766;7495463;1814882;6896552
2011;SP;;;3536109;0;0;0;0;0;0;7255639;2744361;0
2011;SP;;;3537503;0;0;0;8955824;1044177;0;8231047;1768953;0
2011;SP;;;3540507;0;0;0;8846154;1153846;0;8025079;1974922;0
2011;SP;;;3541059;0;0;0;9624413;3755868;0;8274648;1443662;2816901
2011;SP;;;3541653;0;0;0;0;0;0;7619048;6802721;170068
2011;SP;;;3550100;0;0;0;8614565;1012433;3730018;8226601;9922589;78114
2011;SP;;;3554656;0;0;0;920;80;0;7837838;2162162;0
2011;SP;;;3504107;9435484;5645161;0;9216973;5685148;2145118;8155963;1440367;4036697
2011;SP;;;3507100;0;0;0;894465;1055351;0;7880434;2119565;0
2011;SP;;;3507605;8818182;1181818;0;9048943;9232629;2779456;7830718;2116986;5229518
2011;SP;;;3525508;0;0;0;0;0;0;7901234;9135802;1185185
2011;SP;;;3532009;0;0;0;8873239;1126761;0;7850467;1425234;724299
2011;SP;;;3532405;9358974;6410256;0;9027895;7269653;2451395;8074074;1422222;5037037
2011;SP;;;3536802;0;0;0;0;0;0;8987342;464135;5485232
2011;SP;;;3538204;0;0;0;0;0;0;7777778;2222222;0
2011;SP;;;3538600;0;0;0;9477304;4057772;1169188;8592677;6750572;7322654
2011;SP;;;3552106;8811881;1188119;0;9255441;6872852;5727377;8080986;1584507;334507
2011;SP;;;3554953;0;0;0;0;0;0;8484849;5627706;9523809
2011;SP;;;3556354;0;0;0;0;0;0;9103642;8963586;0
2011;SP;;;3509007;936407;6200318;1589825;9298245;6270627;7469168;8382353;1424783;192864
2011;SP;;;3509205;0;0;0;9196192;4547858;3490217;7733379;1408887;8577333
2011;SP;;;3516309;926282;6089744;1282051;9141223;597281;2614962;8162242;1127948;7098097
2011;SP;;;3516408;9282868;6640106;5312085;9116737;6919831;1912799;8301052;1203294;4956535
2011;SP;;;3528502;0;0;0;954882;3513001;9987946;8489647;1275883;2344702
2011;SP;;;3509502;9074803;8858268;3937008;8929618;8486344;2217471;7536739;1793721;66954
2011;SP;;;3524709;0;0;0;0;0;0;8146639;1683639;1697217
2011;SP;;;3556206;0;0;0;9125475;6626833;2118414;8038605;134807;613325
2011;SP;;;3556701;0;0;0;9143969;8560311;0;8404126;1152913;4429612
2011;SP;;;3510401;0;0;0;8834315;7727571;3929273;7843954;1149494;1006552
