ano;sigla_uf;rede;diretoria;id_municipio;id_escola;id_escola_sp;codigo_tipo_escola;prop_aprovados_anos_inciais_ef;prop_reprovados_anos_iniciais_ef;prop_abandono_anos_iniciais_ef;prop_aprovados_anos_finais_ef;prop_reprovados_anos_finais_ef;prop_abandono_anos_finais_ef;prop_aprovados_em;prop_reprovados_em;prop_abandono_em
2011;SP;estadual;CENTRO;3550308;35000711;711;;0;0;0;0;0;0;7450980377;2091503334;4575163364
2011;SP;estadual;CENTRO;3550308;35000536;536;;0;0;0;0;0;0;8289930725;125;4600694656
2011;SP;estadual;CENTRO;3550308;35003670;3670;;0;0;0;0;0;0;7523961639;2028754044;4472843647
2011;SP;estadual;CENTRO;3550308;35003554;3554;;0;0;0;0;0;0;7021276855;1843971634;1134751797
2011;SP;estadual;CENTRO;3550308;35000498;498;;0;0;0;0;0;0;5328467178;2481751823;2189780998
2011;SP;estadual;CENTRO;3550308;35001454;1454;;0;0;0;0;0;0;5550935364;2432432365;201663208
2011;SP;estadual;CENTRO;3550308;35000322;322;;0;0;0;0;0;0;9050847626;8135593414;1355932236
2011;SP;estadual;CENTRO;3550308;35000516;516;;9914530182;854700863;0;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35922250;922250;;9544159698;284900278;4273504257;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000917;917;;0;0;0;0;0;0;7511961365;1626794243;8612440109
2011;SP;estadual;CENTRO;3550308;35003633;3633;;9894179535;1058201075;0;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000656;656;;9777777863;0;2222222328;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000681;681;;9935064697;0;649350643;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000760;760;;0;0;0;0;0;0;7870503235;2086330986;431654662
2011;SP;estadual;CENTRO;3550308;35000848;848;;0;0;0;0;0;0;9245939636;7540603161;0
2011;SP;estadual;CENTRO;3550308;35000383;383;;0;0;0;0;0;0;6622864532;1984231186;1392904091
2011;SP;estadual;CENTRO;3550308;35000668;668;;0;0;0;0;0;0;9629629517;3703703642;0
2011;SP;estadual;CENTRO;3550308;35001478;1478;;9629629517;0;3703703642;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35001363;1363;;0;0;0;0;0;0;7329402161;2342038727;3285593987
2011;SP;estadual;CENTRO;3550308;35000358;358;;9963504028;0;364963502;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35000784;784;;9955156708;0;448430479;0;0;0;0;0;0
2011;SP;estadual;CENTRO;3550308;35001570;1570;;9614147949;353697753;321543396;0;0;0;7429244995;13679245;1202830219
2011;SP;estadual;CENTRO;3550308;35003451;3451;;0;0;0;0;0;0;6557060242;2050290108;1392649937
